bus_type,drive_train_type,year,number_of_buses
single_deck,diesel,2013,"2,608"
single_deck,hybrid,2013,28
single_deck,fuel_cell,2013,5
single_deck,electric,2013,-
double_deck,diesel,2013,"5,716"
double_deck,hybrid_(inc_nrm),2013,360
double_deck,fuel_cell,2013,-
double_deck,electric,2013,-
double_deck,electric_nrm,2013,-
single_deck,diesel,2014,"2,606"
single_deck,hybrid,2014,23
single_deck,fuel_cell,2014,8
single_deck,electric,2014,2
double_deck,diesel,2014,"5,315"
double_deck,hybrid_(inc_nrm),2014,811
double_deck,fuel_cell,2014,-
double_deck,electric,2014,-
double_deck,electric_nrm,2014,-
single_deck,diesel,2015,"2,662"
single_deck,hybrid,2015,23
single_deck,fuel_cell,2015,8
single_deck,electric,2015,8
double_deck,diesel,2015,"5,045"
double_deck,hybrid_(inc_nrm),2015,1231
double_deck,fuel_cell,2015,-
double_deck,electric,2015,-
double_deck,electric_nrm,2015,-
single_deck,diesel,2016,"2,617"
single_deck,hybrid,2016,18
single_deck,fuel_cell,2016,8
single_deck,electric,2016,17
double_deck,diesel,2016,"4,804"
double_deck,hybrid_(inc_nrm),2016,1717
double_deck,fuel_cell,2016,-
double_deck,electric,2016,5
double_deck,electric_nrm,2016,-
single_deck,diesel,2017,2612
single_deck,hybrid,2017,18
single_deck,fuel_cell,2017,8
single_deck,electric,2017,66
double_deck,diesel,2017,4390
double_deck,hybrid_(inc_nrm),2017,2517
double_deck,fuel_cell,2017,-
double_deck,electric,2017,5
double_deck,electric_nrm,2017,-
single_deck,diesel,2018,2587
single_deck,hybrid,2018,13
single_deck,fuel_cell,2018,10
single_deck,electric,2018,91
double_deck,diesel,2018,3463
double_deck,hybrid_(inc_nrm),2018,3227
double_deck,fuel_cell,2018,-
double_deck,electric,2018,5
double_deck,electric_nrm,2018,-
single_deck,diesel,2019,2435
single_deck,hybrid,2019,-
single_deck,fuel_cell,2019,10
single_deck,electric,2019,150
double_deck,diesel,2019,2873
double_deck,hybrid_(inc_nrm),2019,3669
double_deck,fuel_cell,2019,-
double_deck,electric,2019,5
double_deck,electric_nrm,2019,-
single_deck,diesel,2020,2406
single_deck,hybrid,2020,-
single_deck,fuel_cell,2020,2
single_deck,electric,2020,201
double_deck,diesel,2020,2605
double_deck,hybrid_(inc_nrm),2020,3773
double_deck,fuel_cell,2020,-
double_deck,electric,2020,115
double_deck,electric_nrm,2020,-
single_deck,diesel,2021,2309
single_deck,hybrid,2021,-
single_deck,fuel_cell,2021,2
single_deck,electric,2021,268
double_deck,diesel,2021,2388
double_deck,hybrid_(inc_nrm),2021,3884
double_deck,fuel_cell,2021,-
double_deck,electric,2021,217
double_deck,electric_nrm,2021,-
single_deck,diesel,2022,2130
single_deck,hybrid,2022,-
single_deck,fuel_cell,2022,2
single_deck,electric,2022,335
double_deck,diesel,2022,2004
double_deck,hybrid_(inc_nrm),2022,3854
double_deck,fuel_cell,2022,20
double_deck,electric,2022,450
double_deck,electric_nrm,2022,-
single_deck,diesel,2023,2083
single_deck,hybrid,2023,-
single_deck,fuel_cell,2023,-
single_deck,electric,2023,362
double_deck,diesel,2023,1755
double_deck,hybrid_(inc_nrm),2023,3835
double_deck,fuel_cell,2023,20
double_deck,electric,2023,587
double_deck,electric_nrm,2023,1
